"ClientAddress";"ClientID";"ClientName";"ClientStatus";"DayOfBirth";"Gender"
город Москва, 1-й Тушинский проезд, дом 13;yx0Om;Александров Дмитрий Владимирович;Базовый;1970-03-28;Мужчина
город Москва, 1-й Щипковский переулок, дом 19/1, строение 2;Gl1lb;Гериханов Ихван Баудинович;Серебряный;1986-09-17;Мужчина
город Москва, 1-й Щипковский переулок, дом 19/1, строение 2;Vx94e;Беширов Рустам Пиримович;Базовый;1976-06-20;Мужчина
город Москва, 1-й переулок Тружеников, дом 16, строение 14;KoDwY;Лукина Ольга Григорьевна;Базовый;1976-12-15;Женщина
город Москва, 1-й переулок Тружеников, дом 16, строение 14;tazFM;Мартынова Светлана Александровна;Золотой;1970-06-05;Женщина
город Москва, 1-я Аэропортовская улица, дом 1;HjQps;Черемисов Константин Николаевич;Базовый;1995-12-13;Мужчина
город Москва, 1-я Боевская улица, дом 2/12, строение 1;zBUyI;Зубова Елена Вадимовна;Серебряный;1973-08-07;Женщина
город Москва, 1-я Владимирская улица, дом 13;DoF7L;Харун Татьяна Юрьевна;Серебряный;1995-12-15;Женщина
город Москва, 1-я Гражданская улица, дом 105;XCq53;Шекун Андрей Андреевич;Базовый;1981-06-16;Мужчина
город Москва, 1-я Гражданская улица, дом 105;jPWJB;Коблев Сергей Пушевич;Золотой;1984-04-28;Мужчина
город Москва, 1-я Гражданская улица, дом 105;jT1BW;Симонян Кристина Владиславовна;Базовый;1989-02-19;Женщина
город Москва, 1-я Дубровская улица, дом 2А;MM4QC;Сизова Галина Васильевна;Серебряный;1990-07-23;Женщина
город Москва, 1-я Дубровская улица, дом 2А;SKp1H;Матакаева Раиса Юсуфовна;Базовый;1974-01-16;Женщина
город Москва, 1-я Дубровская улица, дом 2А;Wr6WU;Серов Михаил Александрович;Базовый;1983-06-10;Мужчина
город Москва, 1-я Дубровская улица, дом 2А;kz0uN;Мельшина Светлана Витальевна;Серебряный;1982-02-11;Женщина
город Москва, 1-я Квесисская улица, дом 8;LCafq;Хакимов Загир Ахсанович;Базовый;1973-10-06;Мужчина
город Москва, 1-я Курьяновская улица, дом 21, корпус 2;PyW4n;Антипова Анна Валерьевна;Базовый;1977-05-05;Женщина
город Москва, 1-я Курьяновская улица, дом 21, корпус 2;nJm4Y;Нетесанов Сергей Дмитриевич;Серебряный;1977-02-19;Мужчина
город Москва, 1-я Курьяновская улица, дом 49;Q8tG6;Шаповская Елена Михайловна;Базовый;1980-02-22;Женщина
город Москва, 1-я Магистральная улица, дом 21, строение 6;R2bFr;Лубкова Ольга Всеволодовна;Базовый;1991-05-07;Женщина
город Москва, 1-я Магистральная улица, дом 23, строение 3;zxb2E;Чубранов Роман Александрович;Серебряный;1995-07-13;Мужчина
город Москва, 1-я Миусская улица, дом 4;r2SWK;Гизатуллин Гаптрашид Габдрахманович;Базовый;1984-06-12;Мужчина
город Москва, 1-я Мясниковская улица, дом 16;DP274;Кудрявцев Максим Георгиевич;Базовый;1992-07-19;Мужчина
город Москва, 1-я Напрудная улица, дом 15;5DGfP;Назарова Марина Юрьевна;Золотой;1984-06-12;Женщина
город Москва, 1-я Напрудная улица, дом 15;UGekF;Лопаткина Анна Валерьевна;Серебряный;1977-04-13;Женщина
город Москва, 1-я Напрудная улица, дом 17;tsE50;Кадыров Рафис Фаизович;Базовый;1986-11-20;Мужчина
город Москва, 1-я Новокузьминская улица, дом 20, корпус 4;QomJN;Титарева Елена Алексеевна;Серебряный;1985-09-30;Женщина
город Москва, 1-я Новокузьминская улица, дом 20, корпус 4;pkkqK;Гибадуллин Рафаиль Вагитович;Золотой;1977-03-13;Мужчина
город Москва, 1-я Останкинская улица, владение 7А, строение 20;wljYD;Попович Леонид Львович;Базовый;1986-06-14;Мужчина
город Москва, 1-я Останкинская улица, владение 7А, строение 26;s7CpC;Шишкин Александр Сергеевич;Базовый;1994-08-09;Мужчина
город Москва, 1-я Останкинская улица, владение 7А, строение 38;YrSMI;Головина Татьяна Александровна;Золотой;1988-12-04;Женщина
город Москва, 1-я Останкинская улица, владение 7А, строение 38;uUL5y;Курбанов Ризван Даниялович;Золотой;1970-06-21;Мужчина
город Москва, 1-я Останкинская улица, дом 35;13zdw;Немолочнов Александр Александрович;Базовый;1990-10-24;Мужчина
город Москва, 1-я Останкинская улица, дом 35;1dZg0;Хованская Галина Петровна;Базовый;1973-03-08;Женщина
город Москва, 1-я Останкинская улица, дом 35;9mdbX;Комоцкий Борис Олегович;Базовый;1970-06-19;Мужчина
город Москва, 1-я Останкинская улица, дом 35;B5ayJ;Почтарев Валерий Юрьевич;Базовый;1992-12-30;Мужчина
город Москва, 1-я Останкинская улица, дом 35;GKMKW;Ушаков Вячеслав Иванович;Базовый;1970-03-12;Мужчина
город Москва, 1-я Останкинская улица, дом 35;ZYdnG;Аркадьева Татьяна Владимировна;Базовый;1972-06-06;Женщина
город Москва, 1-я Останкинская улица, дом 35;cMlkS;Ложкин Алексей Николаевич;Базовый;1970-11-15;Мужчина
город Москва, 1-я Останкинская улица, дом 35;oDuBw;Малинин Андрей Александрович;Базовый;1971-03-21;Мужчина
город Москва, 1-я Останкинская улица, дом 35;otp6s;Хижняков Антон Валерьевич;Базовый;1978-02-23;Мужчина
город Москва, 1-я Останкинская улица, дом 35;uaw1W;Тихомиров Ростислав Юрьевич;Базовый;1993-06-07;Мужчина
город Москва, 1-я Радиаторская улица, дом 5;rCAwf;Кислицын Василий Александрович;Серебряный;1993-05-22;Мужчина
город Москва, 1-я Радиаторская улица, дом 5;wlAAL;Синюгина Татьяна Ивановна;Золотой;1973-12-05;Женщина
город Москва, 1-я Северная линия, дом 27, строение 7;K53XY;Стародубцев Михаил Павлович;Базовый;1978-08-04;Мужчина
город Москва, 1-я Северная линия, дом 3;p9oQe;Миронов Сергей Михайлович;Базовый;1989-11-20;Мужчина
город Москва, 1-я Сокольническая улица, дом 8;Y25NC;Рябов Николай Федорович;Серебряный;1983-08-02;Мужчина
город Москва, 1-я Тверская-Ямская улица, дом 16/23, строение 1;UTwWf;Чемезов Владимир Игоревич;Базовый;1995-08-21;Мужчина
город Москва, 1-я Тверская-Ямская улица, дом 16/23, строение 1;XdJ5Z;Таймазов Артур Борисович;Базовый;1990-02-12;Мужчина
город Москва, 1-я улица Леонова, дом 1;YHKQE;Бурков Александр Владимирович;Базовый;1986-06-01;Мужчина
город Москва, 1-я улица Леонова, дом 1;faKvM;Лепетенина Татьяна Алексеевна;Базовый;1992-12-27;Женщина
город Москва, 1-я улица Текстильщиков, дом 13;F5SwT;Бочеренок Анастасия Эдуардовна;Золотой;1972-04-25;Женщина
город Москва, 1-я улица Текстильщиков, дом 13;bnG51;Хмельнов Игорь Николаевич;Золотой;1985-03-20;Мужчина
город Москва, 1-я улица Текстильщиков, дом 16;ORtI3;Досова Анастасия Витальевна;Базовый;1983-05-04;Женщина
город Москва, 11-я Парковая улица, дом 5А;Yk0hb;Тарабарин Виктор Николаевич;Базовый;1995-10-03;Мужчина
город Москва, 12-я Новокузьминская улица, дом 6, корпус 2;WIa8J;Савина Людмила Геннадьевна;Базовый;1994-04-18;Женщина
город Москва, 13-я Парковая улица, дом 18;5jR8s;Староверова Светлана Николаевна;Базовый;1989-09-02;Женщина
город Москва, 13-я Парковая улица, дом 18А;ojEW3;Дьячков Виктор Львович;Базовый;1970-11-28;Мужчина
город Москва, 13-я Парковая улица, дом 29;PsHeA;Чеботарев Денис Евгеньевич;Базовый;1983-01-16;Мужчина
город Москва, 15-я Парковая улица, дом 20А;HpLNJ;Зандаков Зорикто Дамдинжапович;Базовый;1992-09-29;Мужчина
город Москва, 15-я Парковая улица, дом 23А;PoTn7;Асташенко Сергей Дмитриевич;Золотой;1978-04-30;Мужчина
город Москва, 15-я Парковая улица, дом 23А;cWP7W;Евтушенко Дмитрий Константинович;Базовый;1992-05-07;Мужчина
город Москва, 15-я Парковая улица, дом 23А;kieq9;Лобзин Роман Валентинович;Серебряный;1987-02-04;Мужчина
город Москва, 15-я Парковая улица, дом 24А;CHSds;Теперечкин Игорь Семенович;Базовый;1974-02-01;Мужчина
город Москва, 16-я Парковая улица, дом 20;Y7R1d;Барагунов Ратмир Асхадович;Базовый;1970-03-26;Мужчина
город Москва, 16-я Парковая улица, дом 20;bd554;Валетов Сергей Анатольевич;Золотой;1990-01-11;Мужчина
город Москва, 16-я Парковая улица, дом 2А;9RaLO;Гнётова Елена Георгиевна;Базовый;1972-11-14;Женщина
город Москва, 16-я Парковая улица, дом 2А, строение 19;9tqG1;Вологдина Ирина Валерьевна;Базовый;1982-11-18;Женщина
город Москва, 16-я Парковая улица, дом 2А, строение 19;VBMrt;Кравец Александр Алексеевич;Базовый;1991-09-20;Мужчина
город Москва, 16-я Парковая улица, дом 4;CjTy5;Мезинова Татьяна Владимировна;Базовый;1970-10-27;Женщина
город Москва, 16-я Парковая улица, дом 4, строение 2;c6goX;Ганиев Фарит Глюсович;Золотой;1989-05-05;Мужчина
город Москва, 16-я Парковая улица, дом 4, строение 2;cGmHr;Ярутин Сергей Александрович;Базовый;1977-08-09;Мужчина
город Москва, 16-я Парковая улица, дом 47;3VskT;Ашихмин Сергей Васильевич;Серебряный;1987-11-20;Мужчина
город Москва, 16-я Парковая улица, дом 47;OHQ9B;Конотопов Владимир Васильевич;Базовый;1974-10-10;Мужчина
город Москва, 16-я Парковая улица, дом 47;mMUuO;Катасонов Сергей Владимирович;Базовый;1975-11-06;Мужчина
город Москва, 16-я Парковая улица, дом 47;uWqQ8;Федоткин Владимир Николаевич;Серебряный;1982-07-13;Мужчина
город Москва, 16-я Парковая улица, дом 8;2s0wg;Плигин Владимир Николаевич;Базовый;1993-09-07;Мужчина
город Москва, 16-я Парковая улица, дом 8;SkyAi;Романов Петр Васильевич;Базовый;1990-04-27;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;0US7f;Алейникова Виктория Викторовна;Базовый;1972-02-21;Женщина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;1OJss;Левицкий Сергей Владимирович;Серебряный;1987-07-30;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;JXmXW;Тимченко Лидия Николаевна;Серебряный;1989-07-06;Женщина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;MFywa;Болховитин Евгений Васильевич;Базовый;1994-06-13;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;Ok9iP;Брюханова Екатерина Владимировна;Базовый;1975-08-06;Женщина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;QNF8G;Швец Павел Евгеньевич;Базовый;1972-05-10;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;R4K2X;Борхонова Намжилма Гомбодоржиевна;Серебряный;1986-01-13;Женщина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;RcnDn;Обухов Владимир Владимирович;Базовый;1981-11-10;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;ZyiEv;Ткачев Алексей Николаевич;Серебряный;1988-04-08;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;czaBA;Демченко Василий Иванович;Базовый;1992-03-25;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;jxV6a;Юхименко Павел Игоревич;Базовый;1985-07-27;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;l6od7;Кислухин Руслан Николаевич;Базовый;1989-10-24;Мужчина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;lZSax;Скоморохова Римма Вениаминовна;Базовый;1984-09-22;Женщина
город Москва, 17-й проезд Марьиной Рощи, дом 4, корпус 1;pnURb;Шингаркин Максим Андреевич;Базовый;1986-07-20;Мужчина
город Москва, 2-й Балтийский переулок, дом 3;ajqeF;Галин Ильгам Илюсович;Золотой;1979-04-20;Мужчина
город Москва, 2-й Гончарный переулок, дом 6;igz3s;Жуков Михаил Михайлович;Базовый;1987-04-19;Мужчина
город Москва, 2-й Кожуховский проезд, дом 15, корпус 4;XzTB4;Багамаев Аммай Алиевич;Серебряный;1972-04-21;Мужчина
город Москва, 2-й Колобовский переулок, дом 9/2, строение 1;Kt8sB;Шабанов Владимир Геннадьевич;Базовый;1977-05-28;Мужчина
город Москва, 2-й Колобовский переулок, дом 9/2, строение 1;saQzG;Сафин Марат Мубинович;Серебряный;1977-06-18;Мужчина
город Москва, 2-й Котляковский переулок, дом 6А;inmup;Кудряшов Андрей Витальевич;Базовый;1984-05-08;Мужчина
город Москва, 2-й Лесной переулок, дом 11, строение 1;1us6T;Липатов Андрей Анатольевич;Серебряный;1970-10-05;Мужчина
город Москва, 2-й Лесной переулок, дом 11, строение 1;lYaBX;Садыков Роберт Гарипович;Золотой;1979-01-28;Мужчина
город Москва, 2-й Нагатинский проезд, дом 4;RPHM8;Григорян Арсен Арменович;Серебряный;1993-08-13;Мужчина
город Москва, 2-й Нагатинский проезд, дом 4;aNbzc;Сошникова Ольга Викторовна;Золотой;1987-08-31;Женщина
город Москва, 2-й Нагатинский проезд, дом 4А;r6tc3;Заболотских Андрей Владимирович;Базовый;1994-07-29;Мужчина
город Москва, 2-й Обыденский переулок, дом 8/8;Ph1Cc;Торощин Игорь Андреевич;Базовый;1978-08-31;Мужчина
город Москва, 2-й Обыденский переулок, дом 9;fHgO3;Василенко Виталий Владимирович;Серебряный;1995-03-09;Мужчина
город Москва, 2-й Очаковский переулок, дом 6;WazU1;Сытин Александр Николаевич;Базовый;1975-12-22;Мужчина
город Москва, 2-й Павелецкий проезд, дом 4А;EWj5O;Лысаков Вячеслав Иванович;Базовый;1972-09-03;Мужчина
город Москва, 2-й Павелецкий проезд, дом 4А;fn40c;Махотина Ольга Анатольевна;Серебряный;1983-06-24;Женщина
город Москва, 2-й Павловский переулок, дом 18;uBJ1j;Попо Родион Афанасьевич;Базовый;1978-03-17;Мужчина
город Москва, 2-й Пятигорский проезд, дом 5, корпус 1;TOh7l;Савостин Дмитрий Сергеевич;Базовый;1980-08-09;Мужчина
город Москва, 2-й Самотёчный переулок, дом 1/23, строение 1;59vs4;Немцев Александр Владимирович;Серебряный;1977-08-02;Мужчина
город Москва, 2-й Саратовский проезд, дом 4;e33KR;Мухометьярова Ольга Ивановна;Серебряный;1987-05-11;Женщина
город Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 1;5flmL;Школьняк Сергей Николаевич;Базовый;1985-08-08;Мужчина
город Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 1;wytcD;Богатырев Юсуп Магометович;Базовый;1984-09-04;Мужчина
город Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 2;p2Mje;Коломейцев Николай Васильевич;Базовый;1981-11-30;Мужчина
город Москва, 2-й Сельскохозяйственный проезд, дом 4, корпус 4;C4DJY;Морозов Роман Владимирович;Базовый;1986-11-13;Мужчина
город Москва, 2-й Сетуньский проезд, дом 9;VrRmz;Евланов Владимир Лазаревич;Серебряный;1995-01-30;Мужчина
город Москва, 2-й Троицкий переулок, дом 6А, строение 2;OiH9m;Рыжков Сергей Викторович;Серебряный;1981-06-18;Мужчина
город Москва, 2-й Южнопортовый проезд, дом 11, строение 1;0hRSr;Куликов Алексей Сергеевич;Золотой;1985-12-31;Мужчина
город Москва, 2-й Южнопортовый проезд, дом 11, строение 1;A46lJ;Вакарев Артём Васильевич;Базовый;1976-11-21;Мужчина
город Москва, 2-й Южнопортовый проезд, дом 11, строение 2;qPyza;Беляков Евгений Анатольевич;Базовый;1970-08-25;Мужчина
город Москва, 2-й квартал Капотня, дом 16, строение 3;e54Ax;Нилов Ярослав Евгеньевич;Базовый;1982-08-10;Мужчина
город Москва, 2-й квартал Капотня, дом 16, строение 4;NwO2N;Сокол Сергей Михайлович;Базовый;1973-01-19;Мужчина
город Москва, 2-й квартал Капотня, дом 16, строение 5;GdMXf;Волков Виктор Петрович;Золотой;1986-05-15;Мужчина
город Москва, 2-й квартал Капотня, дом 16, строение 5;Q9U8Z;Кузнецова Надежда Васильевна;Базовый;1970-04-08;Женщина
город Москва, 2-й квартал Капотня, дом 17, строение 2;16Wnn;Бобков Игорь Александрович;Базовый;1972-11-08;Мужчина
город Москва, 2-й квартал Капотня, дом 17, строение 2;P6VjW;Суходольский Вадим Александрович;Базовый;1983-07-16;Мужчина
город Москва, 2-й квартал Капотня, дом 19, строение 1;7DCQf;Ледков Александр Владимирович;Базовый;1988-02-07;Мужчина
город Москва, 2-й квартал Капотня, дом 19, строение 1;CICcS;Воронова Марина Владимировна;Базовый;1995-07-26;Женщина
город Москва, 2-й квартал Капотня, дом 19, строение 1;lDact;Величко Виктор Васильевич;Золотой;1983-10-17;Мужчина
город Москва, 2-й квартал Капотня, дом 19, строение 1;nGKWl;Акбаев Ренат Анзорович;Серебряный;1975-06-22;Мужчина
город Москва, 2-й переулок Измайловского Зверинца, дом 10;I5XqD;Савельев Дмитрий Иванович;Базовый;1986-04-26;Мужчина
город Москва, 2-я Боевская улица, дом 6А, строение 1;CJthU;Коротченко Игорь Юрьевич;Базовый;1986-08-05;Мужчина
город Москва, 2-я Владимирская улица, дом 13А;bOCoM;Тыщенко Илья Владимирович;Базовый;1993-07-18;Мужчина
город Москва, 2-я Владимирская улица, дом 24А;EmFJm;Кинев Виктор Николаевич;Базовый;1977-11-04;Мужчина
город Москва, 2-я Владимирская улица, дом 31А;T5mir;Прялухина Лариса Федоровна;Базовый;1977-05-08;Женщина
город Москва, 2-я Гражданская улица, дом 8;1sjQ8;Пупков Сергей Викторович;Базовый;1985-06-22;Мужчина
город Москва, 2-я Дубровская улица, дом 13, строение 1;I0GFh;Думнов Дмитрий Александрович;Базовый;1989-03-24;Мужчина
город Москва, 2-я Звенигородская улица, дом 8;peg1R;Соклакова Евгения Олеговна;Базовый;1991-10-28;Женщина
город Москва, 2-я Квесисская улица, дом 6;KQuNn;Куринной Игорь Иванович;Базовый;1971-08-25;Мужчина
город Москва, 2-я Леснорядская улица, дом 4;6W763;Натаров Сергей Васильевич;Базовый;1971-03-27;Мужчина
город Москва, 2-я Новоостанкинская улица, дом 14А;oB2y1;Сорокин Олег Анатольевич;Базовый;1973-04-15;Мужчина
город Москва, 2-я Новоостанкинская улица, дом 14А;xG4Pl;Пехова Елизавета Михайловна;Серебряный;1987-01-24;Женщина
город Москва, 2-я Новоостанкинская улица, дом 4;Fzj4c;Чувашов Максим Сергеевич;Базовый;1970-08-09;Мужчина
город Москва, 2-я Новоостанкинская улица, дом 4;sQnBe;Хайров Ринат Шамильевич;Базовый;1990-10-27;Мужчина
город Москва, 2-я Песчаная улица, дом 4А;VU1cx;Батышева Татьяна Тимофеевна;Базовый;1988-10-07;Женщина
город Москва, 2-я Пугачёвская улица, дом 10;QmOGK;Цапанов Александр Васильевич;Базовый;1987-03-30;Мужчина
город Москва, 2-я Пугачёвская улица, дом 10;a4z1K;Вегнер Вячеслав Михайлович;Базовый;1973-02-23;Мужчина
город Москва, 2-я Пугачёвская улица, дом 10;w3eoU;Мелешкин Роман Николаевич;Базовый;1989-01-28;Мужчина
город Москва, 2-я Пугачёвская улица, дом 3;2oyLJ;Добрынина Татьяна Владимировна;Серебряный;1978-02-19;Женщина
город Москва, 2-я Пугачёвская улица, дом 3;V3Eax;Шаргунов Сергей Александрович;Базовый;1995-07-02;Мужчина
город Москва, 2-я Пугачёвская улица, дом 7;Y6WvM;Исаев Андрей Константинович;Золотой;1983-01-29;Мужчина
город Москва, 2-я Пугачёвская улица, дом 7;gBEds;Семёнова Надежда Михайловна;Базовый;1973-02-29;Женщина
город Москва, 2-я Рощинская улица, дом 13А;0uuIa;Бытдаев Кемал Курманович;Базовый;1979-02-11;Мужчина
город Москва, 2-я Рощинская улица, дом 13А;Mb8Pw;Васильев Валерий Никонорович;Золотой;1972-01-02;Мужчина
город Москва, 2-я Северная линия, дом 27;BXFsL;Архипов Сергей Николаевич;Базовый;1992-10-27;Мужчина
город Москва, 2-я Северная линия, дом 35;8nOOc;Постников Алексей Максимович;Базовый;1995-03-13;Мужчина
город Москва, 2-я Северная линия, дом 35;sPjEh;Эркенов Ахмат Чокаевич;Базовый;1970-02-25;Мужчина
город Москва, 2-я Северная линия, дом 35;zVzw6;Самохина Наталья Николаевна;Золотой;1988-04-25;Женщина
город Москва, 2-я Тверская-Ямская улица, дом 18;HAjSs;Адамцов Александр Михайлович;Серебряный;1981-02-19;Мужчина
город Москва, 2-я Тверская-Ямская улица, дом 40;0cjA6;Агарков Андрей Александрович;Базовый;1987-06-30;Мужчина
город Москва, 2-я Тверская-Ямская улица, дом 40;cRhf0;Кротова Рамола Тушарендровна;Базовый;1976-05-15;Женщина
город Москва, 2-я Филёвская улица, дом 3, корпус 1;vIoYd;Федоров Прокопий Павлович;Базовый;1979-09-22;Мужчина
город Москва, 2-я Фрунзенская улица, дом 9, строение 2;NEYns;Волосковец Илья Владимирович;Базовый;1972-09-06;Мужчина
город Москва, 2-я Фрунзенская улица, дом 9, строение 2;h2sxY;Дондо Светлана Сигизмундовна;Базовый;1978-03-02;Женщина
город Москва, 2-я Хуторская улица, дом 15;o2C8o;Василькова Светлана Романовна;Золотой;1980-06-18;Женщина
город Москва, 2-я Ямская улица, дом 15;z1eEH;Василенко Александр Борисович;Базовый;1990-05-01;Мужчина
город Москва, 2-я улица Бухвостова, дом 6;DBgIR;Тишин Владимир Владимирович;Серебряный;1981-02-08;Мужчина
город Москва, 2-я улица Бухвостова, дом 6;zIXw0;Золотко Марина Михайловна;Базовый;1986-01-07;Женщина
город Москва, 2-я улица Дьяково-Городище, дом 21;6BPF2;Тимофеев Юрий Константинович;Базовый;1985-09-01;Мужчина
город Москва, 2-я улица Дьяково-Городище, дом 21;k1N4h;Бутенко Владимир Владимирович;Базовый;1994-07-09;Мужчина
город Москва, 2-я улица Синичкина, дом 6, строение 1;ekhOi;Алферов Жорес Иванович;Базовый;1994-12-09;Мужчина
город Москва, 3-й Дорожный проезд, дом 6А;EUJcz;Бродникова Екатерина Олеговна;Базовый;1986-11-30;Женщина
город Москва, 3-й Дорожный проезд, дом 6Б;9lbSp;Горностаев Александр Сергеевич;Золотой;1989-10-30;Мужчина
город Москва, 3-й Дорожный проезд, дом 6Б;skAqi;Михеев Алексей Олегович;Серебряный;1978-05-07;Мужчина
город Москва, 3-й Дорожный проезд, дом 6Б;xCwT2;Гималетдинов Альберт Минигаязович;Золотой;1985-05-24;Мужчина
